Fighter_first,Fighter_last,Fighter_height,Fighter_weight,Fighter_reach,Fighter_wins,Fighter_losses,Fighter_draws,Fighter_nickname,Fighter_stance
Todd,Duffee,"6' 3""",260 lbs.,"78.0""",9,3,0,,Orthodox
Joe,Duffy,"5' 10""",155 lbs.,"73.0""",16,5,0,Irish,Orthodox
Alexis,Dufresne,"5' 9""",135 lbs.,--,6,3,0,Sneaky Zebra,Orthodox
Jessamyn,Duke,"5' 11""",135 lbs.,"73.0""",3,5,0,The Gun,Orthodox
Isaac,Dulgarian,"5' 7""",145 lbs.,"71.0""",6,0,0,The Midwest Choppa,Orthodox
Kelly,Dullanty,"5' 8""",155 lbs.,--,4,2,0,Psycho,Orthodox
Sedriques,Dumas,"6' 2""",185 lbs.,"79.0""",9,1,0,The Reaper,Orthodox
Norma,Dumont,"5' 7""",145 lbs.,"67.0""",10,2,0,The Immortal,Orthodox
Chris,Duncan,"5' 10""",155 lbs.,"71.0""",11,1,0,The Problem,Orthodox
Christian Leroy,Duncan,"6' 2""",185 lbs.,"79.0""",8,1,0,CLD,Switch
Evan,Dunham,"5' 10""",155 lbs.,"70.0""",18,9,1,,Southpaw
Alex,Dunworth,"5' 8""",155 lbs.,--,2,2,0,,
Tom,Duquesnoy,"5' 7""",135 lbs.,"68.0""",16,2,0,Fire Kid,Orthodox
Albert,Duraev,"5' 11""",185 lbs.,"75.0""",16,5,0,,Orthodox
Reuben,Duran,"5' 7""",135 lbs.,"71.0""",11,7,1,,Orthodox
Cody,Durden,"5' 7""",125 lbs.,"67.0""",16,4,1,,Southpaw
Luiz,Dutra,"5' 11""",170 lbs.,--,13,6,1,Besouro,Orthodox
Rilley,Dutro,"5' 8""",125 lbs.,--,11,4,0,,Orthodox
Bill,Duvall,"6' 2""",185 lbs.,--,1,2,0,,Southpaw
Merab,Dvalishvili,"5' 6""",135 lbs.,"68.0""",16,4,0,The Machine,Orthodox
David,Dvorak,"5' 5""",125 lbs.,"68.0""",20,6,0,Undertaker,Orthodox
Matt,Dwyer,"6' 4""",170 lbs.,"76.0""",9,4,0,,Orthodox
Rolando,Dy,"5' 8""",145 lbs.,"69.0""",9,7,1,Dy Incredible,Orthodox
Ben,Earwood,"5' 8""",170 lbs.,--,12,3,0,,Orthodox
Cody,East,"6' 3""",245 lbs.,--,12,3,0,The Freight Train,Orthodox
Marvin,Eastman,"5' 9""",185 lbs.,"73.0""",18,15,1,The Beastman,Orthodox
Mike,Easton,"5' 6""",135 lbs.,"70.0""",13,6,0,The Hulk,Southpaw
Maurice,Eazel,"5' 7""",135 lbs.,--,7,15,0,,
Vincent,Eazelle,"5' 11""",155 lbs.,--,9,2,0,The Real Deal,
Ross,Ebanez,"5' 9""",154 lbs.,--,20,10,0,The Boss,Southpaw
Brian,Ebersole,"6' 0""",170 lbs.,"73.0""",51,18,1,Bad Boy,Southpaw
Roybert,Echeverria,"5' 5""",125 lbs.,"67.0""",7,1,0,The Unbroken,Switch
Mark,Eddiva,"5' 8""",145 lbs.,"68.0""",6,3,0,,Orthodox
Frankie,Edgar,"5' 6""",135 lbs.,"68.0""",23,11,1,The Answer,Orthodox
Abdul-Kerim,Edilov,"6' 2""",205 lbs.,--,17,4,0,,Orthodox
Johnny,Eduardo,"5' 7""",135 lbs.,"71.0""",28,13,0,,Orthodox
Yves,Edwards,"5' 9""",155 lbs.,"73.0""",42,22,1,,Southpaw
Justin,Edwards,"5' 10""",155 lbs.,"70.0""",9,5,0,Fast Eddy,Orthodox
Leon,Edwards,"6' 2""",170 lbs.,"74.0""",21,3,0,Rocky,Southpaw
Te,Edwards,"5' 8""",155 lbs.,"72.0""",6,3,0,,Orthodox
Adli,Edwards,--,145 lbs.,--,4,1,0,,
Joselyne,Edwards,"5' 8""",135 lbs.,"70.0""",13,5,0,La Pantera,Orthodox
Tom,Egan,"5' 11""",170 lbs.,--,7,5,0,,Orthodox
Stephanie,Egger,"5' 6""",125 lbs.,"68.0""",8,4,0,,Orthodox
Justin,Eilers,"6' 1""",235 lbs.,--,19,7,1,The Hammer,Orthodox
Jon Olav,Einemo,"6' 6""",253 lbs.,--,6,3,0,The Viking,Orthodox
Per,Eklund,"5' 10""",155 lbs.,"72.0""",14,5,1,,Orthodox
John,Elam,--,--,--,2,0,0,,
Evan,Elder,"5' 10""",155 lbs.,"72.0""",8,2,0,The Phenom,Switch
John Paul,Elias,"6' 4""",205 lbs.,--,3,1,0,,
Joao,Elias,"5' 3""",125 lbs.,"64.0""",17,4,1,Alicate,Southpaw
Saul,Elizondo,"5' 7""",135 lbs.,--,6,8,0,,
Darren,Elkins,"5' 10""",145 lbs.,"71.0""",28,11,0,The Damage,Orthodox
Jake,Ellenberger,"5' 9""",170 lbs.,"71.0""",31,15,0,The Juggernaut,Orthodox
Joe,Ellenberger,"5' 9""",155 lbs.,"72.0""",15,2,0,Excalibur,Orthodox
Tim,Elliott,"5' 7""",125 lbs.,"66.0""",20,13,1,,Southpaw
Oban,Elliott,"6' 0""",170 lbs.,"72.0""",9,2,0,The Welsh Gangster,Orthodox
Eddy,Ellis,"5' 9""",170 lbs.,--,21,16,1,Fast,Orthodox
Lisa,Ellis,"5' 4""",115 lbs.,--,15,11,0,,
Anna,Elmose,"5' 3""",115 lbs.,--,3,2,0,Panda,Orthodox
Cameron,Else,"5' 9""",135 lbs.,"71.0""",10,6,0,Camchida,Switch
Aaron,Ely,"5' 8""",135 lbs.,--,5,2,0,The Cyborg,
Sovannahry,Em,"5' 4""",135 lbs.,--,3,1,0,The Sweet Savage,
Ramazan,Emeev,"5' 10""",170 lbs.,"76.0""",20,6,0,Gorets,Southpaw
Aleksander,Emelianenko,"6' 6""",255 lbs.,--,23,7,0,,Orthodox
Fedor,Emelianenko,"6' 0""",230 lbs.,"74.0""",36,5,0,The Last Emperor,Orthodox
Rob,Emerson,"5' 9""",155 lbs.,"70.0""",18,12,0,The Saint,Orthodox
Jamall,Emmers,"5' 10""",145 lbs.,"74.0""",20,7,0,Pretty Boy,Orthodox
Josh,Emmett,"5' 6""",145 lbs.,"70.0""",18,4,0,CC0,Orthodox
Marius,Enache,"5' 11""",155 lbs.,--,3,3,0,,
Kevin,Engel,"6' 2""",170 lbs.,--,5,1,0,The Hitman,
Kolton,Englund,"5' 10""",155 lbs.,"69.0""",9,4,0,White Assassin,Orthodox
Oliver,Enkamp,"6' 0""",170 lbs.,"77.0""",7,2,0,,Switch
Alex,Enlund,"5' 10""",145 lbs.,--,14,2,0,,Orthodox
Kenny,Ento,"6' 2""",192 lbs.,--,14,15,0,Tha' Dragon,
Ian,Entwistle,"5' 5""",135 lbs.,--,9,3,0,Enty,Orthodox
Andy,Enz,"6' 3""",185 lbs.,"78.0""",10,4,0,Tank Mode,Orthodox
Won Jin,Eoh,"5' 7""",160 lbs.,--,5,5,1,,Orthodox
Josh,Epps,--,130 lbs.,--,6,7,0,,
Steve,Erceg,"5' 8""",125 lbs.,"68.0""",11,1,0,Astroboy,Orthodox
Tom,Erikson,"6' 3""",280 lbs.,--,9,4,1,The Big Cat,Orthodox
Konstantin,Erokhin,"5' 11""",230 lbs.,--,9,3,0,,Orthodox
Julian,Erosa,"6' 1""",145 lbs.,"74.0""",28,12,0,Juicy J,Southpaw
Jarno,Errens,"5' 11""",145 lbs.,"73.0""",13,5,1,,Orthodox
Nick,Ertl,"5' 9""",155 lbs.,--,8,6,0,,
Chel,Erwin-Davis,"6' 0""",170 lbs.,--,5,1,0,The First Sun,
Bobby,Escalante,--,130 lbs.,--,5,6,0,,
Eric,Esch,"5' 11""",350 lbs.,--,15,10,1,Butterbean,Orthodox
Pro,Escobedo,--,205 lbs.,--,1,0,0,,
Cole,Escovedo,"5' 7""",135 lbs.,"72.0""",17,9,0,Apache Kid,Orthodox
Efrain,Escudero,"5' 9""",155 lbs.,"71.0""",28,12,0,Hecho En Mexico,Orthodox
Evan,Esguerra,--,145 lbs.,--,8,7,0,,
Carla,Esparza,"5' 1""",115 lbs.,"63.0""",20,7,0,Cookie Monster,Orthodox
Juan,Espino,"6' 3""",255 lbs.,"80.0""",11,2,0,El Guapo,Orthodox
Jordan,Espinosa,"5' 6""",125 lbs.,"69.0""",15,9,0,The Gamer,Orthodox
Jodie,Esquibel,"5' 1""",115 lbs.,"64.0""",6,6,0,,Orthodox
Rafael,Estevam,"5' 8""",125 lbs.,"69.0""",11,0,0,Macapa,Orthodox
Achilles,Estremadura,"5' 10""",155 lbs.,"68.0""",7,1,0,,Orthodox
Shaun,Etchell,"5' 7""",125 lbs.,"68.0""",7,3,0,The Buzzsaw,Switch
Terry,Etim,"6' 1""",155 lbs.,"73.0""",16,5,0,,Orthodox
Fred,Ettish,"6' 0""",180 lbs.,--,1,1,0,,Southpaw
Scott,Ettling,--,135 lbs.,--,4,2,0,,
Sijara,Eubanks,"5' 4""",125 lbs.,"67.0""",8,7,0,SarJ,Orthodox
Billy,Evangelista,"5' 8""",155 lbs.,"68.0""",13,3,0,,Orthodox
Rashad,Evans,"6' 0""",205 lbs.,"75.0""",19,8,1,Suga,Orthodox
Doug,Evans,"5' 9""",155 lbs.,--,13,10,0,,Orthodox
Ashlee,Evans-Smith,"5' 8""",135 lbs.,"67.0""",6,6,0,Rebel Girl,Orthodox
Dan,Evensen,"6' 3""",250 lbs.,--,11,4,0,The Viking,Orthodox
Tonya,Evinger,"5' 7""",135 lbs.,"70.0""",19,8,0,Triple Threat,Orthodox
Movsar,Evloev,"5' 7""",145 lbs.,"72.0""",17,0,0,,Orthodox
Andre,Ewell,"5' 8""",145 lbs.,"75.0""",17,9,0,Mr. Highlight,Southpaw
Neal,Ewing,--,185 lbs.,--,6,0,0,,
Jessica,Eye,"5' 6""",125 lbs.,"66.0""",15,11,0,Evil,Orthodox
Edward,Faaloloto,--,155 lbs.,"70.0""",2,5,0,,Orthodox
Urijah,Faber,"5' 6""",135 lbs.,"67.0""",35,11,0,The California Kid,Orthodox
Melinda,Fabian,"5' 6""",125 lbs.,"66.0""",4,4,2,,Orthodox
Wagnney,Fabiano,"5' 6""",145 lbs.,"69.0""",16,4,0,The Silencer,Southpaw
Bartosz,Fabinski,"6' 0""",170 lbs.,"75.0""",15,5,0,The Butcher,Orthodox
Ron,Faircloth,"5' 9""",205 lbs.,--,33,20,0,,Orthodox
Jason,Fairn,"6' 1""",230 lbs.,--,4,5,0,,
Zarah,Fairn,"5' 8""",135 lbs.,"72.0""",6,6,0,Infinite,Orthodox
Rinat,Fakhretdinov,"6' 0""",170 lbs.,"74.0""",21,1,1,Gladiator,Orthodox
Maiquel,Falcao,"5' 11""",185 lbs.,--,37,10,0,Big Rig,Orthodox
Pedro,Falcao,"5' 6""",135 lbs.,"66.0""",15,3,0,Pedrinho,Orthodox
Brodie,Farber,"6' 1""",170 lbs.,--,16,7,0,,Orthodox
Joao Paulo,Faria,"5' 9""",155 lbs.,--,1,1,0,,
Kalindra,Faria,"5' 7""",125 lbs.,--,18,8,1,,Switch
Jair,Farias,"6' 1""",145 lbs.,"76.0""",10,1,0,Chosen,Orthodox
Chance,Farrar,"5' 9""",145 lbs.,--,8,3,0,,Southpaw
Rico,Farrington,"6' 4""",170 lbs.,"79.0""",7,3,0,The Triggerman,Southpaw
Kelly,Faszholz,"5' 8""",135 lbs.,--,4,2,0,,Orthodox
Rodney,Faverus,"6' 0""",215 lbs.,--,25,20,3,,Southpaw
Paul,Felder,"5' 11""",155 lbs.,"70.0""",17,6,0,The Irish Dragon,Orthodox
Carlos,Felipe,"6' 0""",245 lbs.,"75.0""",11,2,0,Boi,Orthodox
JP,Felty,--,170 lbs.,--,4,5,0,,
Feng,Pengchao,--,135 lbs.,--,15,9,1,,
Kevin,Ferguson,"6' 2""",235 lbs.,"77.0""",5,2,0,Kimbo Slice,Orthodox
Rhadi,Ferguson,"5' 7""",205 lbs.,--,3,0,0,,
Tony,Ferguson,"5' 11""",155 lbs.,"76.0""",26,9,0,El Cucuy,Orthodox
Josh,Ferguson,"5' 5""",125 lbs.,--,10,5,0,Taz,Orthodox
CJ,Fernandes,"6' 2""",170 lbs.,--,14,8,3,,
Bibiano,Fernandes,"5' 7""",139 lbs.,--,20,3,0,,Orthodox
Gabriella,Fernandes,"5' 6""",125 lbs.,"66.0""",8,3,0,Gabi,Southpaw
Kaue,Fernandes,"5' 9""",155 lbs.,"73.0""",8,2,0,,Orthodox
Emily,Fernandez,--,--,--,0,0,0,,
Lucas,Fernando,"6' 3""",185 lbs.,"80.0""",9,2,0,,
Alexandre,Ferreira,"5' 7""",205 lbs.,--,18,6,0,Cacareco,Orthodox
Cezar,Ferreira,"6' 1""",185 lbs.,"78.0""",13,8,0,Mutante,Southpaw
Diego,Ferreira,"5' 9""",155 lbs.,"74.0""",18,5,0,,Orthodox
Erisson,Ferreira,"5' 6""",125 lbs.,"70.0""",12,2,0,Gato,Orthodox
Brunno,Ferreira,"5' 10""",185 lbs.,"72.0""",10,1,0,The Hulk,Orthodox
Scott,Ferrozzo,"5' 11""",323 lbs.,--,4,2,0,The Pitbull,Orthodox
Timo,Feucht,"6' 3""",205 lbs.,"79.0""",8,1,0,,Orthodox
Andre,Fialho,"6' 0""",170 lbs.,"74.0""",16,8,0,,Orthodox
Drew,Fickett,"5' 10""",155 lbs.,"70.0""",42,21,0,The Master,Orthodox
Scott,Fiedler,"6' 4""",235 lbs.,--,0,1,0,,Orthodox
Ron,Fields,"6' 2""",200 lbs.,--,28,32,1,Killing,Orthodox
Michal,Figlak,"5' 10""",155 lbs.,"70.0""",8,1,0,Mad Dog,Orthodox
Deiveson,Figueiredo,"5' 5""",135 lbs.,"68.0""",21,3,1,Deus da Guerra,Orthodox
Francisco,Figueiredo,"5' 6""",125 lbs.,"68.0""",13,5,1,Sniper,Southpaw
Anthony,Figueroa,"5' 4""",135 lbs.,--,11,8,1,,Orthodox
Edwin,Figueroa,"5' 7""",135 lbs.,"69.0""",9,5,0,El Feroz,Orthodox
Paulo,Filho,"5' 8""",185 lbs.,--,23,6,3,,Southpaw
Jafel,Filho,"5' 7""",125 lbs.,"68.0""",15,3,0,Pastor,Orthodox
Andre,Fili,"5' 11""",145 lbs.,"74.0""",22,10,0,Touchy,Orthodox
Mirko,Filipovic,"6' 2""",230 lbs.,"73.0""",35,11,2,Cro Cop,Southpaw
Brady,Fink,"6' 0""",183 lbs.,--,2,3,0,,Orthodox
Jesse,Finney,"6' 0""",170 lbs.,--,5,1,0,,
Jan,Finney,"5' 8""",135 lbs.,--,11,12,0,Cuddles,Orthodox
Torrez,Finney,"5' 8""",185 lbs.,"75.0""",7,0,0,The Punisher,Orthodox
Luigi,Fioravanti,"5' 8""",170 lbs.,"70.0""",26,15,0,,Orthodox
Nick,Fiore,"5' 10""",155 lbs.,"72.0""",6,2,0,,Orthodox
Manon,Fiorot,"5' 7""",125 lbs.,"65.0""",11,1,0,The Beast,Orthodox
Luiz,Firmino,"5' 6""",154 lbs.,--,19,8,0,Buscape,Orthodox
Spencer,Fisher,"5' 7""",155 lbs.,"68.0""",24,9,0,The King,Southpaw
Chris,Fishgold,"5' 8""",145 lbs.,"68.0""",18,4,1,,Orthodox
Bryanna,Fissori,"5' 4""",145 lbs.,--,2,4,0,,
Jon,Fitch,"6' 0""",170 lbs.,"74.0""",30,7,1,,Orthodox
Isi,Fitikefu,"5' 10""",205 lbs.,--,6,0,0,Doxz,
Rafael,Fiziev,"5' 8""",155 lbs.,"71.0""",12,3,0,Ataman,Switch
Colin,Fletcher,"6' 2""",155 lbs.,--,14,8,0,The Freakshow,Orthodox
AJ,Fletcher,"5' 10""",170 lbs.,"67.0""",10,3,0,The Ghost,Switch
Jimmy,Flick,"5' 7""",125 lbs.,"68.0""",16,7,0,The Brick,Orthodox
Luke,Flores,"6' 0""",155 lbs.,"73.0""",9,2,0,,Southpaw
Ty,Flores,"6' 3""",205 lbs.,"73.0""",7,3,0,Big Medicine,Switch
Alejandro,Flores,"5' 10""",145 lbs.,"73.0""",17,3,0,El Gallito,Orthodox
Kenny,Florian,"5' 10""",145 lbs.,"74.0""",14,6,0,KenFlo,Southpaw
Darrius,Flowers,"5' 9""",170 lbs.,"71.0""",12,6,1,Beast Mode,Orthodox
Cody,Floyd,--,--,--,2,0,0,,
Bobby,Flynn,--,170 lbs.,--,6,4,0,,
Caros,Fodor,"5' 9""",155 lbs.,"74.0""",11,6,0,The Future,Orthodox
Mal,Foki,"5' 7""",220 lbs.,--,5,5,0,Twin Tiger,Orthodox
Matt,Foki,"5' 7""",220 lbs.,--,5,4,0,Twin Tiger,Orthodox
AJ,Fonseca,"5' 4""",145 lbs.,--,5,4,0,,
Rob,Font,"5' 8""",135 lbs.,"71.0""",20,7,0,,Orthodox
Claudionor,Fontinelle,"5' 5""",185 lbs.,--,10,15,1,,Orthodox
Jesse,Forbes,"6' 2""",185 lbs.,"75.0""",15,5,0,Kid Hercules,Southpaw
Sterling,Ford,"5' 10""",155 lbs.,--,15,7,0,,
Codale,Ford,"5' 9""",170 lbs.,--,11,9,0,Crunch Time,
Raheam,Forest,"5' 11""",170 lbs.,"73.0""",7,2,0,Rambo,Switch
Jussier,Formiga,"5' 5""",125 lbs.,"67.0""",23,8,0,,Orthodox
Renee,Forte,"5' 7""",155 lbs.,"71.0""",8,4,0,,Orthodox
Brianna,Fortino,"5' 0""",115 lbs.,"62.0""",9,3,0,The Bull,Southpaw
Marcel,Fortuna,"6' 1""",205 lbs.,"74.0""",9,3,0,,Orthodox
Brian,Foster,"5' 9""",170 lbs.,"71.0""",27,10,0,The Foster Boy,Orthodox
Xavier,Foupa-Pokam,"6' 1""",185 lbs.,--,32,22,0,Professor X,Open Stance
Mason,Fowler,"5' 11""",170 lbs.,--,2,0,0,,
Brandon,Foxworth,"5' 11""",145 lbs.,--,18,4,0,,Orthodox
Hermes,Franca,"5' 6""",155 lbs.,"71.0""",24,17,0,,Orthodox
Glaico,Franca Moreira,"6' 0""",155 lbs.,"77.0""",15,5,0,Nego,Orthodox
Francisco,France,"6' 0""",205 lbs.,--,13,5,1,Kiko,
John,Franchi,"5' 6""",145 lbs.,"67.0""",6,2,0,,Orthodox
Rich,Franklin,"6' 1""",185 lbs.,"76.0""",29,7,0,Ace,Southpaw
Zoila,Frausto,"5' 4""",135 lbs.,--,13,5,0,Warrior Princess,Orthodox
Stephanie,Frausto,"5' 2""",115 lbs.,"61.0""",8,7,0,Lil Bovy,Orthodox
Zane,Frazier,"6' 5""",250 lbs.,--,4,11,0,Nasty,Orthodox
Gary,Frazier,"6' 0""",245 lbs.,--,3,3,0,,Orthodox
Justin,Frazier,"6' 0""",265 lbs.,"75.0""",10,3,0,The Grizzly Bear,Southpaw
Ian,Freeman,"5' 11""",225 lbs.,--,20,7,1,The Machine,Orthodox
Jason,Freeman,"6' 2""",225 lbs.,--,6,4,0,,
Willamy,Freire,"5' 8""",155 lbs.,--,26,6,0,Chiquerim,Orthodox
Patricio,Freire,"5' 5""",145 lbs.,"65.0""",26,4,0,Pitbull,
Patricky,Freire,"5' 7""",155 lbs.,"71.0""",17,8,0,Pitbull,
Jeremy,Freitag,"6' 1""",205 lbs.,--,6,10,0,,
Rafael,Freitas,--,205 lbs.,--,3,6,0,Capoeira,Orthodox
Donavon,Frelow,"5' 7""",135 lbs.,--,6,3,0,,Orthodox
Josh,Fremd,"6' 4""",185 lbs.,"76.0""",11,5,0,,Orthodox
Clay,French,"5' 7""",161 lbs.,--,19,7,0,,Southpaw
Mike,French,"5' 10""",145 lbs.,--,9,10,0,,
Matt,Frevola,"5' 9""",155 lbs.,"71.0""",11,4,1,The SteamRolla,Orthodox
Jinh Yu,Frey,"5' 3""",115 lbs.,"65.0""",11,10,0,,Southpaw
Artem,Frolov,"5' 10""",185 lbs.,--,11,0,0,,
Sarah,Frota,"5' 6""",125 lbs.,"69.0""",9,2,0,A Treta,Southpaw
Don,Frye,"6' 1""",219 lbs.,--,20,9,1,The Predator,Orthodox
Tony,Fryklund,"6' 0""",185 lbs.,--,14,9,1,The Freak,Orthodox
Adam,Fugitt,"6' 1""",170 lbs.,"77.0""",9,4,0,,Southpaw
Jesse,Fujarczyk,"6' 4""",225 lbs.,--,2,2,0,The Ronin,Southpaw
Katsuhisa,Fujii,"6' 0""",205 lbs.,--,9,18,1,Shamoji,Orthodox
Megumi,Fujii,"5' 3""",113 lbs.,--,26,3,0,Mega Megu,
Kazuyuki,Fujita,"6' 0""",235 lbs.,--,15,12,0,Ironhead,Orthodox
Keisuke,Fujiwara,"5' 6""",139 lbs.,--,17,12,5,,Switch
Riki,Fukuda,"6' 0""",185 lbs.,"73.0""",24,9,0,,Southpaw
Masio,Fullen,"5' 10""",145 lbs.,"70.0""",11,7,0,Lobo,Orthodox
Travis,Fulton,"6' 0""",240 lbs.,--,253,53,10,The Ironman,Orthodox
Sam,Fulton,--,--,--,0,2,0,,
Masakatsu,Funaki,"6' 0""",185 lbs.,--,39,13,2,,Southpaw
Ricardo,Funch,"5' 10""",170 lbs.,"74.0""",9,6,0,Golden Boy,Southpaw
Katsuaki,Furuki,"6' 0""",168 lbs.,--,1,1,0,,
James,Gabert,--,178 lbs.,--,6,4,0,,
Gustavo,Gabriel,"5' 6""",125 lbs.,--,13,1,0,,Orthodox
Claudia,Gadelha,"5' 4""",115 lbs.,"63.0""",18,5,0,Claudinha,Orthodox
Alavutdin,Gadjiev,"6' 2""",185 lbs.,--,18,13,1,,Orthodox
Magomed,Gadzhiyasulov,"6' 2""",205 lbs.,"75.0""",8,0,0,,Orthodox
Justin,Gaethje,"5' 11""",155 lbs.,"70.0""",25,4,0,The Highlight,Orthodox
Sheila,Gaff,"5' 5""",135 lbs.,--,9,7,0,The German Tank,Orthodox
Muin,Gafurov,"5' 7""",135 lbs.,"68.0""",18,6,0,Tajik,Southpaw
Mitch,Gagnon,"5' 5""",135 lbs.,"65.0""",12,5,0,,Southpaw
Brandon,Gaines,"6' 3""",185 lbs.,--,5,21,0,,
Travis,Galbraith,"6' 0""",170 lbs.,--,18,7,0,The Gladiator,Orthodox
Dave,Galera,"5' 11""",135 lbs.,--,5,1,0,Scarecrow,Orthodox
Zelg,Galesic,"6' 2""",185 lbs.,--,11,9,0,Benkei,Orthodox
Mickey,Gall,"6' 2""",170 lbs.,"74.0""",7,5,0,,Switch
Daniel,Gallemore,"6' 5""",265 lbs.,--,7,3,0,Big Kansas,
Tom,Gallicchio,"5' 10""",170 lbs.,--,19,10,0,Da Tank,Southpaw
Turrell,Galloway,"5' 3""",145 lbs.,--,8,6,0,,
Eric,Galvan,--,155 lbs.,--,0,0,0,,
Andre,Galvao,"5' 7""",168 lbs.,--,5,2,0,,Orthodox
Marcos,Galvao,"5' 7""",135 lbs.,--,18,8,1,Loro,Orthodox
Lucas,Gamaza,--,170 lbs.,--,8,4,0,,
Joey,Gambino,"5' 7""",145 lbs.,--,9,2,0,The Raging Warrior,Orthodox
Manvel,Gamburyan,"5' 5""",135 lbs.,"67.0""",15,10,0,The Anvil,Orthodox
Mateusz,Gamrot,"5' 10""",155 lbs.,"70.0""",23,2,0,Gamer,Southpaw
Shamil,Gamzatov,"6' 2""",205 lbs.,"76.0""",14,1,0,,Orthodox
Ariel,Gandulla,"5' 11""",205 lbs.,--,7,9,0,,Orthodox
Ciryl,Gane,"6' 4""",245 lbs.,"81.0""",12,2,0,Bon Gamin,Orthodox
Sean,Gannon,"6' 3""",265 lbs.,--,2,1,0,The Cannon,Southpaw
Junye,Gao,--,125 lbs.,--,19,12,0,,
Eduardo,Garagorri,"5' 9""",145 lbs.,"70.0""",13,2,0,,Orthodox
Cody,Garbrandt,"5' 8""",135 lbs.,"65.0""",13,5,0,No Love,Orthodox
Leonard,Garcia,"5' 10""",145 lbs.,"68.0""",18,13,1,Bad Boy,Orthodox
Edgar,Garcia,"5' 10""",170 lbs.,"71.0""",14,5,0,,Orthodox
Alejandro,Garcia,"5' 7""",145 lbs.,--,14,10,0,Alex,
Alex,Garcia,"5' 9""",170 lbs.,"72.0""",15,6,0,The Dominican Nightmare,Orthodox
Nick,Garcia,"5' 4""",125 lbs.,--,8,3,0,Nitro,
Steve,Garcia,"6' 0""",145 lbs.,"75.0""",14,5,0,Mean Machine,Southpaw
Elias,Garcia,"5' 5""",125 lbs.,"67.0""",6,2,0,,Southpaw
Rafa,Garcia,"5' 7""",155 lbs.,"70.0""",16,3,0,Gifted,Orthodox
Fernie,Garcia,"5' 7""",135 lbs.,"67.0""",10,4,0,,Orthodox
Rulon,Gardner,"6' 3""",265 lbs.,--,1,0,0,,Orthodox
David,Gardner,"5' 11""",155 lbs.,--,18,21,0,,Orthodox
Ian,Garry,"6' 3""",170 lbs.,"74.0""",13,0,0,The Future,Orthodox
Pablo,Garza,"6' 1""",145 lbs.,"73.0""",12,4,0,The Scarecrow,Orthodox
Azamat,Gashimov,"5' 6""",125 lbs.,--,8,3,0,,Orthodox
Brian,Gassaway,"6' 1""",170 lbs.,--,29,20,2,,Orthodox
Kelvin,Gastelum,"5' 9""",170 lbs.,"71.0""",18,8,0,,Southpaw
Willie,Gates,"5' 8""",125 lbs.,"72.0""",12,7,0,,Orthodox
Melissa,Gatto,"5' 5""",125 lbs.,"69.0""",8,2,2,,Orthodox
Louis,Gaudinot,"5' 3""",125 lbs.,"63.0""",8,4,0,Goodnight,Orthodox
Manuel,Gaxhja,"5' 8""",155 lbs.,--,7,0,0,,Switch
Shamil,Gaziev,"6' 4""",265 lbs.,"78.0""",11,0,0,,Orthodox
Charlene,Gellner,"5' 2""",125 lbs.,--,0,4,0,Princess,
Chad,George,"5' 6""",135 lbs.,"68.0""",16,8,0,Savage,Southpaw
Paul,Georgieff,"6' 2""",170 lbs.,--,6,2,0,,Orthodox
Brian,Geraghty,"5' 7""",155 lbs.,--,26,18,1,Duke,Orthodox
Derek,Getzel,"6' 0""",155 lbs.,--,8,5,0,The Pretzel,
Karine,Gevorgyan,"5' 4""",125 lbs.,"63.0""",3,3,0,The Princess,
Yanis,Ghemmouri,"5' 9""",145 lbs.,"69.0""",12,2,0,The Desert Warrior,Orthodox
Darrel,Gholar,"5' 8""",194 lbs.,--,5,6,0,,Orthodox
Tiki,Ghosn,"5' 10""",170 lbs.,--,10,7,1,,Orthodox
Christos,Giagos,"5' 10""",155 lbs.,"71.0""",20,11,0,The Spartan,Orthodox
Joe,Giannetti,"6' 0""",155 lbs.,"74.0""",6,1,0,,Southpaw
Nick,Gibbons,"5' 10""",155 lbs.,--,2,1,0,,
James,Giboo,"5' 11""",170 lbs.,--,13,5,0,,Orthodox
Lance,Gibson,"5' 9""",185 lbs.,--,4,5,0,Fearless,Orthodox
Lee,Gibson,"5' 7""",155 lbs.,--,12,4,0,Lethal,
Cody,Gibson,"5' 10""",135 lbs.,"71.0""",20,9,0,The Renegade,Orthodox
Chase,Gibson,"5' 10""",155 lbs.,"72.0""",9,5,0,El Guero,Orthodox
Kenny,Giddens,"5' 11""",155 lbs.,--,12,7,0,,
Thomas,Gifford,"6' 1""",155 lbs.,"75.0""",14,9,0,The Young Lion,Orthodox
Joseph,Gigliotti,"5' 11""",185 lbs.,--,7,2,0,Capo,Orthodox
Joey,Gilbert,"5' 11""",155 lbs.,--,2,3,0,,Orthodox
Trevin,Giles,"6' 0""",170 lbs.,"74.0""",16,5,0,,Orthodox
Kultar,Gill,"6' 0""",154 lbs.,--,12,8,0,Black Mamba,Orthodox
Jesse,Gillespie,--,185 lbs.,--,3,2,0,,
Gregor,Gillespie,"5' 7""",155 lbs.,"71.0""",14,1,0,The Gift,Orthodox
Jason,Gilliam,"6' 0""",170 lbs.,--,14,9,0,,Orthodox
Micheal,Gillmore,"5' 11""",170 lbs.,"72.0""",6,5,0,The Gentleman,Orthodox
Krishaun,Gilmore,--,--,--,0,1,0,,
